Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,BWA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.529199751,5.954135296,9.806079868,10.66640292,19.15141057,35.36541432,50.92769425,68.47836537,133.5364033,210.9646947,263.6474778,
Central African Republic,CAF,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.224005756,0.222559969,0.220376787,0.435158832,0.642897324,1.05370103,1.242296725,
Canada,CAN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.697909,1641.936616,2146.094474,2362.885406,2697.825054,3386.894983,10221.44125,26565.26832,30947.10375,35889.41106,39849.74816,
Central Europe and the Baltics,CEB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2756421,220.5059959,401.7017584,523.6626057,702.6442976,989.7742822,4145.890512,13204.6717,21419.37955,27516.29335,32888.8977,
Switzerland,CHE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.601523,2439.083575,3486.493013,3954.955073,4897.999658,6938.08893,17196.72608,32951.99625,68154.75418,95783.22807,120024.6255,
Channel Islands,CHI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30028218,64.40912117,102.9289108,127.4221665,165.155984,223.9924458,1237.185508,7258.193973,8073.29061,11013.69853,12914.48529,
China,CHN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.199068554,1.956082927,3.766088954,5.134092309,9.705071946,19.55923065,47.59653838,207.6492517,443.5127891,729.7386956,948.4586493,
Cote d'Ivoire,CIV,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535724444,0.665758319,1.809980959,2.444821068,3.444062595,5.037425922,6.044648291,8.675200691,11.64774692,44.52385028,56.59960706,
Cameroon,CMR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344128548,0.43049035,0.88432692,1.26827103,1.807612456,2.23191522,2.800236674,8.54837587,5.433002141,15.14894641,16.72576941,
"Congo, Dem. Rep.",COD,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061954171,0.074900587,0.173860762,0.154150566,0.352459001,0.511512091,0.634605307,2.555321325,2.81914332,3.030283199,3.852105758,
"Congo, Rep.",COG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.227539466,1.773758441,1.946890135,3.166584511,3.706683542,4.617550386,4.696028979,6.101789674,6.133254431,8.336214764,
Colombia,COL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50357476,14.89178914,30.40646939,41.35884829,54.73973968,71.31633906,319.9789235,462.8925007,651.174232,780.6602071,405.7553027,
Comoros,COM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.415271916,0,1.348597661,3.950539249,1.286281168,59.07513477,4.914669058,7.208748537,7.05143197,9.199684911,
Cabo Verde,CPV,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3583602,28.0640984,61.35685742,62.53175441,75.24948097,74.32252163,112.9645668,260.4656009,498.3779728,549.1548107,178.061397,
Costa Rica,CRI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5528909,137.9210315,163.6091103,272.8742537,305.0846751,312.925128,489.8622997,1161.4247,1205.934341,1310.335824,1319.562146,
Caribbean small states,CSS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.12953851,95.6942296,150.1560945,176.4627845,200.4616193,268.0624746,357.5268059,761.4536574,1023.110836,2671.390465,8352.401162,
Cuba,CUB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089080249,0,0,,0.088441501,0.088301959,2.823087349,8.466164664,16.05200709,35.38188257,68.4229076,
Curacao,CUW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13.15028142,1313.206173,1455.977525,2525.636156,2912.365969,3165.287966,3797.007581,4109.475931,4743.557474,
Cayman Islands,CYM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.312818,2937.263507,3934.670895,3754.192181,4338.679989,4973.995885,5226.647913,6058.502414,11531.50907,16952.02316,30462.56847,
Cyprus,CYP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.9260374,406.2810878,1506.546871,980.8841245,2426.457762,2377.287601,4550.546963,17363.95733,6372.01895,8221.436474,24989.21201,
Czech Republic,CZE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5064677,470.0799002,834.6664878,1079.865539,1417.625471,2048.822219,11991.38925,25419.94205,42344.59537,56186.87259,67601.75729,
Germany,DEU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.317943,1471.903146,2194.90449,2601.183288,3352.786096,4297.925887,11624.9602,34181.27844,56406.62071,77970.03313,97517.56929,
Djibouti,DJI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.760805243,7.028468813,1.151893252,4.52849328,8.901677632,10.94094298,11.83919786,22.24340642,37.54211756,45.19509387,49.59504131,
Dominica,DMA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32684792,70.5099278,197.3109338,168.9688675,225.0636508,266.9476642,5357.117815,6968.933669,6631.670064,9817.847594,46922.53198,
Denmark,DNK,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.050363,2368.158961,3064.433401,3458.456843,4349.802205,6004.944503,24041.33373,43757.82743,123154.4405,277330.5756,277081.8143,
Dominican Republic,DOM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86164128,13.75695376,24.06625935,26.87041474,34.23450756,46.393219,93.28952124,98.16314124,121.6695318,113.139479,126.7525966,
