Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhutan,BTN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,3378,8675,13233,16766,20481,24979,27874,16489,16707,10802,8774,3189,
Botswana,BWA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1800,3540,8900,10000,11978,19125,22236,21590,33290,36845,59057,32434,40044,49295,259525,
Central African Republic,CAF,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,605,,,1858,736,619,608,499,,
Canada,CAN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,582000,1410932,2836000,3515000,4513000,5416000,7004000,8044000,9075322,9842303,10290000,10817103,11282579,11689914,12094461,12568000,13115376,13386496,13923805,14445606,15142175,15825813,
Central Europe and the Baltics,CEB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84220,401560,951335,2170796,3816909,8258932,12147445,14208640,16763026,18051843,20208640,20882334,21977753,22715875,23363768,24120554,25143985,26151815,27163118,28366918,
Switzerland,CHE,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56416,140000,455220,783874,1227397,1669217,2050184,2380588,2556297,2741199,2913517,3078338,3212371,3438094,3535986,3700563,3775916,3916720,3883878,4022520,4028238,
Channel Islands,CHI,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,66723,188454,352234,478883,708564,1011646,1302310,1427178,1654676,1789355,2011244,2166330,2295169,2489717,2719439,2904580,3062392,3250888,3429668,3763826,
China,CHN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22660,336280,3298490,11219010,24939630,37350000,50853000,66414000,82879000,103978000,126337000,156487000,175183000,188909000,200483000,277046000,322597000,394190000,407382000,449279000,483549500,
Cote d'Ivoire,CIV,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,826,1239,10000,10000,10000,10000,,,46167,56281,126857,109707,136380,142825,175918,216723,260097,
Cameroon,CMR,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,421,640,860,900,5954,10713,13846,16900,16831,20447,364781,382358,395813,400929,722579,
"Congo, Dem. Rep.",COD,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,450,500,1000,1000,1000,4620,11900,31000,
"Congo, Rep.",COG,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,250,1311,1392,438,500,,,,,,1000,
Colombia,COL,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8872,13830,34888,64436,127113,318683,628077,1207090,1772088,2114782,2643033,3348142,3938657,4537621,5028595,5525763,5912968,6331032,6678543,6949852,7764772,
Comoros,COM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,82,110,66,329,400,1233,1300,1583,1600,1634,1644,1531,1255,1066,
Cabo Verde,CPV,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,937,1814,3833,7380,10972,16071,21332,19853,21202,19076,16568,15541,14993,15657,20252,24839,
Costa Rica,CRI,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8989,14878,27931,44914,83327,95000,109939,182654,396262,419782,448594,484883,516337,558656,639087,744041,834784,904734,992725,
Caribbean small states,CSS,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21197,56497,91957,138826,187127,253455,333308,434162,473138,498285,627251,674419,753368,897134,971854,1024247,1007098,1152226,1340377,
Cuba,CUB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,2246,2883,3706,4421,5013,5360,7793,8157,14428,33536,98838,182732,231654,
Curacao,CUW,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31800,35582,37000,38663,40000,42713,49348,51836,53297,55000,
Cayman Islands,CYM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17530,18295,18852,18816,19325,20335,23469,27383,24535,31232,,51000,32000,
Cyprus,CYP,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,5879,10033,17070,31900,63084,97613,147276,176024,194455,212149,220580,229195,243611,260640,278483,295686,313462,326565,332080,
Czech Republic,CZE,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,6200,15300,34690,235996,709063,1112500,1496720,1759586,2036110,2261179,2509100,2656980,2856168,2994818,2946626,3069970,3146091,3222835,3739614,3845426,
Germany,DEU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,2100000,3205000,4470000,7000000,10786800,14977200,19751400,22710136,24964600,26161950,27257096,27956700,28641961,29572818,30707429,31861900,33232299,34152033,35191417,36215303,
Djibouti,DJI,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,,,42,152,1092,2451,5285,8058,11302,14907,17705,20102,24165,24275,24389,25508,24416,25053,
Dominica,DMA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,175,2238,2651,3253,3400,4300,5000,7000,7300,8311,8307,8500,10667,10785,15159,15487,15423,11514,15205,16000,
Denmark,DNK,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,238000,451297,718299,1017594,1343855,1735317,1903541,2005681,2022709,2112406,2143247,2179545,2272401,2341759,2404962,2461403,2511871,2535904,2536508,2590282,
Dominican Republic,DOM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,37257,60674,102880,173752,239118,315593,390505,423919,483625,526705,599996,686107,761255,820578,860626,929883,1031858,
Algeria,DZA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,36000,135000,170000,287039,485000,818000,900000,980752,1154748,1280000,1599692,2269348,2859567,3210267,3067022,3582739,3790459,
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26660,366942,3378319,11467799,25585996,38842035,53495465,71349600,90439075,115076496,137814038,171435966,192705835,208232739,221606908,301263530,350329750,426570446,445595759,494484952,536164158,
Early-demographic dividend,EAR,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340814,1030975,2238814,4409981,8782017,14287438,22273662,31973945,42026576,49053814,59492712,69299247,74247258,81911252,98181235,110446409,118900028,129965116,140429649,162712178,
East Asia & Pacific,EAS,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502154,14174055,26912269,42925828,64143608,83423794,105572186,126899476,150486995,179028520,204757978,241184447,264487108,282207313,296268458,378241434,429768972,507935922,528688461,579908199,624203007,
